"fipscounty","AAR_county","AAR_norm","decile","bottom_decile","upper_decile","negative_shock","positive_shock","unaffected","aar_category","quartile","bottom_quartile","upper_quartile"
37141,-0.0626819287460867,0.0186213917397854,6,"0","0",0,0,"1","1",3,"0","0"
37143,-0.0915199582006744,-0.222508923095531,5,"0","0",0,0,"1","1",2,"0","0"
37145,-0.166191908077995,-0.846881361983547,2,"0","0",1,0,"0","0",1,"1","0"
37147,-0.0872934700551231,-0.18716897662695,5,"0","0",0,0,"1","1",2,"0","0"
37149,-0.0982166820054283,-0.278503841956001,4,"0","0",0,0,"1","1",2,"0","0"
37151,-0.114729382420948,-0.4165754344081,4,"0","0",0,0,"0","3",2,"0","0"
37153,-0.125147647683735,-0.503688168196301,3,"0","0",0,0,"0","3",2,"0","0"
37155,-0.132721408713533,-0.567016468227289,3,"0","0",0,0,"0","3",1,"1","0"
37157,-0.0419006597648107,0.192384787745171,7,"0","0",0,0,"1","1",3,"0","0"
37159,-0.132417590145643,-0.564476077350603,3,"0","0",0,0,"0","3",1,"1","0"
37161,-0.148092413780444,-0.69554173022399,2,"0","0",0,0,"0","3",1,"1","0"
37163,-0.00834789135477799,0.472937577354052,8,"0","0",0,0,"1","1",4,"0","1"
37165,-0.138833748016671,-0.618125033147335,3,"0","0",0,0,"0","3",1,"1","0"
37167,-0.186798602102467,-1.01918504263762,2,"0","0",1,0,"0","0",1,"1","0"
37169,0.283003630486147,2.90908475932021,10,"0","1",0,1,"0","2",4,"0","1"
37171,-0.120490922785115,-0.464750780235239,3,"0","0",0,0,"0","3",2,"0","0"
37173,-0.058376146624688,0.0546243578987645,6,"0","0",0,0,"1","1",3,"0","0"
37175,-0.140193062330717,-0.629490993121203,3,"0","0",0,0,"0","3",1,"1","0"
37177,-0.0404497666805412,0.204516487199643,7,"0","0",0,0,"1","1",3,"0","0"
37179,-0.0806140454321058,-0.131318705553358,5,"0","0",0,0,"1","1",2,"0","0"
37181,-0.145879845465853,-0.677041253444463,3,"0","0",0,0,"0","3",1,"1","0"
37183,-0.0428361188350938,0.18456291002332,7,"0","0",0,0,"1","1",3,"0","0"
37185,-0.101708159004677,-0.307697963884298,4,"0","0",0,0,"0","3",2,"0","0"
37187,-0.364864323674013,-2.5080885605267,1,"1","0",1,0,"0","0",1,"1","0"
37189,-0.109115559812971,-0.36963523639552,4,"0","0",0,0,"0","3",2,"0","0"
37191,-0.0297362065705026,0.294098340439956,8,"0","0",0,0,"1","1",3,"0","0"
37193,0.036339978099561,0.846596951265609,9,"0","0",0,0,"1","1",4,"0","1"
37195,-0.101849765028407,-0.308882008208079,4,"0","0",0,0,"0","3",2,"0","0"
37197,-0.146883935236585,-0.685436989461058,2,"0","0",0,0,"0","3",1,"1","0"
37199,-0.218596692414807,-1.28506602248232,1,"1","0",1,0,"0","0",1,"1","0"
37999,-0.00306265747804974,0.517130267797088,8,"0","0",0,0,"1","1",4,"0","1"
38001,0.0722692117292045,1.14702064805635,10,"0","1",0,0,"1","1",4,"0","1"
38003,-0.0843703094061098,-0.162726854160823,5,"0","0",0,0,"1","1",2,"0","0"
38005,-0.130954741310671,-0.552244409417503,3,"0","0",0,0,"0","3",2,"0","0"
38007,-0.0886925721417107,-0.198867623622122,5,"0","0",0,0,"1","1",2,"0","0"
38009,0.0298015869439722,0.791925937063813,9,"0","0",0,0,"1","1",4,"0","1"
38011,0.0415977293230278,0.890559844425032,9,"0","0",0,0,"1","1",4,"0","1"
38013,-0.00951657828617112,0.463165555720101,8,"0","0",0,0,"1","1",4,"0","1"
38015,-0.00214914610363777,0.524768628998726,8,"0","0",0,0,"1","1",4,"0","1"
38017,-0.0446476149553416,0.16941601413412,7,"0","0",0,0,"1","1",3,"0","0"
38019,-0.00798100532230762,0.47600530931048,8,"0","0",0,0,"1","1",4,"0","1"
38021,0.0561407242182205,1.01216166688133,9,"0","0",0,0,"1","1",4,"0","1"
38023,0.0199703888937706,0.709721988809078,9,"0","0",0,0,"1","1",4,"0","1"
38025,0.132232573629966,1.64840665144066,10,"0","1",0,0,"0","3",4,"0","1"
38027,0.158840574923899,1.8708904983085,10,"0","1",0,1,"0","2",4,"0","1"
38029,0.0599428016128637,1.0439528862031,10,"0","1",0,0,"1","1",4,"0","1"
38031,-0.0293688581553715,0.297169938627146,8,"0","0",0,0,"1","1",3,"0","0"
38033,-0.0537095024750639,0.093644686066306,6,"0","0",0,0,"1","1",3,"0","0"
38035,-0.0189118158642145,0.384606908059597,8,"0","0",0,0,"1","1",3,"0","0"
38037,0.0036062189102703,0.572892339392365,9,"0","0",0,0,"1","1",4,"0","1"
38039,-0.166847569891923,-0.852363703967654,2,"0","0",1,0,"0","0",1,"1","0"
38041,0.0254348335631551,0.755413157326808,9,"0","0",0,0,"1","1",4,"0","1"
38043,0.131532284048742,1.64255115262919,10,"0","1",0,0,"0","3",4,"0","1"
38045,0.0124903488624042,0.647177340583912,9,"0","0",0,0,"1","1",4,"0","1"
38047,-0.0262364596187856,0.323361611900316,8,"0","0",0,0,"1","1",3,"0","0"
38049,0.0765060181010025,1.18244687077856,10,"0","1",0,0,"1","1",4,"0","1"
38051,0.0417956468251152,0.892214739384651,9,"0","0",0,0,"1","1",4,"0","1"
38053,0.076963801946352,1.18627464836404,10,"0","1",0,0,"1","1",4,"0","1"
38055,0.282548529237763,2.90527941237452,10,"0","1",0,1,"0","2",4,"0","1"
